"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|ES","Generation - Solar [MW] Intraday / BZN|ES","Generation - Solar [MW] Current / BZN|ES","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"01.01.2025 00:00 - 01.01.2025 00:15","47","2","2","n/e","n/e","n/e","2766","2959","2959"
"01.01.2025 00:15 - 01.01.2025 00:30","39","2","2","n/e","n/e","n/e","2810","2993","2993"
"01.01.2025 00:30 - 01.01.2025 00:45","34","2","2","n/e","n/e","n/e","2853","3031","3031"
"01.01.2025 00:45 - 01.01.2025 01:00","31","1","1","n/e","n/e","n/e","2894","3071","3071"
"01.01.2025 01:00 - 01.01.2025 01:15","29","1","1","n/e","n/e","n/e","2939","3141","3141"
"01.01.2025 01:15 - 01.01.2025 01:30","29","1","1","n/e","n/e","n/e","2976","3162","3162"
"01.01.2025 01:30 - 01.01.2025 01:45","30","1","1","n/e","n/e","n/e","3010","3186","3186"
"01.01.2025 01:45 - 01.01.2025 02:00","30","1","1","n/e","n/e","n/e","3041","3212","3212"
"01.01.2025 02:00 - 01.01.2025 02:15","31","0","0","n/e","n/e","n/e","3072","3398","3398"
"01.01.2025 02:15 - 01.01.2025 02:30","31","0","0","n/e","n/e","n/e","3101","3398","3398"
"01.01.2025 02:30 - 01.01.2025 02:45","29","0","0","n/e","n/e","n/e","3130","3401","3401"
"01.01.2025 02:45 - 01.01.2025 03:00","27","0","0","n/e","n/e","n/e","3159","3407","3407"
"01.01.2025 03:00 - 01.01.2025 03:15","26","0","0","n/e","n/e","n/e","3187","3549","3549"
"01.01.2025 03:15 - 01.01.2025 03:30","23","0","0","n/e","n/e","n/e","3211","3540","3540"
"01.01.2025 03:30 - 01.01.2025 03:45","20","0","0","n/e","n/e","n/e","3232","3532","3532"
"01.01.2025 03:45 - 01.01.2025 04:00","16","0","0","n/e","n/e","n/e","3250","3526","3526"
"01.01.2025 04:00 - 01.01.2025 04:15","14","0","0","n/e","n/e","n/e","3268","3647","3647"
"01.01.2025 04:15 - 01.01.2025 04:30","11","0","0","n/e","n/e","n/e","3287","3633","3633"
"01.01.2025 04:30 - 01.01.2025 04:45","8","0","0","n/e","n/e","n/e","3308","3622","3622"
"01.01.2025 04:45 - 01.01.2025 05:00","5","0","0","n/e","n/e","n/e","3330","3613","3613"
"01.01.2025 05:00 - 01.01.2025 05:15","2","0","0","n/e","n/e","n/e","3357","3714","3714"
"01.01.2025 05:15 - 01.01.2025 05:30","1","0","0","n/e","n/e","n/e","3377","3697","3697"
"01.01.2025 05:30 - 01.01.2025 05:45","0","0","0","n/e","n/e","n/e","3394","3681","3681"
"01.01.2025 05:45 - 01.01.2025 06:00","0","0","0","n/e","n/e","n/e","3408","3665","3665"
"01.01.2025 06:00 - 01.01.2025 06:15","0","0","0","n/e","n/e","n/e","3421","3940","3940"
"01.01.2025 06:15 - 01.01.2025 06:30","0","0","0","n/e","n/e","n/e","3430","3904","3904"
"01.01.2025 06:30 - 01.01.2025 06:45","0","0","0","n/e","n/e","n/e","3436","3872","3872"
"01.01.2025 06:45 - 01.01.2025 07:00","0","0","0","n/e","n/e","n/e","3440","3842","3842"
"01.01.2025 07:00 - 01.01.2025 07:15","0","1","1","n/e","n/e","n/e","3441","3906","3906"
"01.01.2025 07:15 - 01.01.2025 07:30","0","1","1","n/e","n/e","n/e","3444","3864","3864"
"01.01.2025 07:30 - 01.01.2025 07:45","1","0","0","n/e","n/e","n/e","3448","3826","3826"
"01.01.2025 07:45 - 01.01.2025 08:00","1","0","0","n/e","n/e","n/e","3452","3790","3790"
"01.01.2025 08:00 - 01.01.2025 08:15","2","2","2","n/e","n/e","n/e","3459","3802","3802"
"01.01.2025 08:15 - 01.01.2025 08:30","54","57","57","n/e","n/e","n/e","3460","3756","3756"
"01.01.2025 08:30 - 01.01.2025 08:45","191","202","202","n/e","n/e","n/e","3458","3716","3716"
"01.01.2025 08:45 - 01.01.2025 09:00","402","416","416","n/e","n/e","n/e","3454","3682","3682"
"01.01.2025 09:00 - 01.01.2025 09:15","1710","1700","1535","n/e","n/e","n/e","3449","3657","3891"
"01.01.2025 09:15 - 01.01.2025 09:30","2619","2580","2545","n/e","n/e","n/e","3447","3630","3822"
"01.01.2025 09:30 - 01.01.2025 09:45","3708","3648","3678","n/e","n/e","n/e","3446","3606","3771"
"01.01.2025 09:45 - 01.01.2025 10:00","4884","4805","4841","n/e","n/e","n/e","3442","3583","3732"
"01.01.2025 10:00 - 01.01.2025 10:15","7162","7058","6644","n/e","n/e","n/e","3458","3574","3788"
"01.01.2025 10:15 - 01.01.2025 10:30","8363","8229","7646","n/e","n/e","n/e","3432","3541","3704"
"01.01.2025 10:30 - 01.01.2025 10:45","9295","9119","8485","n/e","n/e","n/e","3389","3501","3621"
"01.01.2025 10:45 - 01.01.2025 11:00","9986","9760","9174","n/e","n/e","n/e","3335","3457","3542"
"01.01.2025 11:00 - 01.01.2025 11:15","10840","10533","9776","n/e","n/e","n/e","3268","3405","3384"
"01.01.2025 11:15 - 01.01.2025 11:30","11237","10879","10222","n/e","n/e","n/e","3216","3364","3312"
"01.01.2025 11:30 - 01.01.2025 11:45","11550","11154","10568","n/e","n/e","n/e","3177","3329","3253"
"01.01.2025 11:45 - 01.01.2025 12:00","11794","11369","10828","n/e","n/e","n/e","3150","3302","3210"
"01.01.2025 12:00 - 01.01.2025 12:15","12105","11641","11611","n/e","n/e","n/e","3116","3269","3384"
"01.01.2025 12:15 - 01.01.2025 12:30","12226","11753","11723","n/e","n/e","n/e","3111","3256","3366"
"01.01.2025 12:30 - 01.01.2025 12:45","12289","11817","11792","n/e","n/e","n/e","3116","3260","3364"
"01.01.2025 12:45 - 01.01.2025 13:00","12308","11843","11827","n/e","n/e","n/e","3128","3268","3371"
"01.01.2025 13:00 - 01.01.2025 13:15","12325","11863","11607","n/e","n/e","n/e","3140","3275","3423"
"01.01.2025 13:15 - 01.01.2025 13:30","12295","11858","11641","n/e","n/e","n/e","3162","3289","3433"
"01.01.2025 13:30 - 01.01.2025 13:45","12260","11854","11679","n/e","n/e","n/e","3188","3304","3438"
"01.01.2025 13:45 - 01.01.2025 14:00","12221","11847","11711","n/e","n/e","n/e","3215","3320","3439"
"01.01.2025 14:00 - 01.01.2025 14:15","12201","11877","11712","n/e","n/e","n/e","3244","3336","3692"
"01.01.2025 14:15 - 01.01.2025 14:30","12160","11846","11698","n/e","n/e","n/e","3270","3350","3681"
"01.01.2025 14:30 - 01.01.2025 14:45","12111","11790","11657","n/e","n/e","n/e","3296","3361","3674"
"01.01.2025 14:45 - 01.01.2025 15:00","12015","11682","11554","n/e","n/e","n/e","3322","3374","3675"
"01.01.2025 15:00 - 01.01.2025 15:15","12166","11773","11373","n/e","n/e","n/e","3336","3374","3835"
"01.01.2025 15:15 - 01.01.2025 15:30","11824","11459","11028","n/e","n/e","n/e","3376","3396","3841"
"01.01.2025 15:30 - 01.01.2025 15:45","11293","10995","10536","n/e","n/e","n/e","3426","3427","3860"
"01.01.2025 15:45 - 01.01.2025 16:00","10555","10346","9868","n/e","n/e","n/e","3485","3470","3895"
"01.01.2025 16:00 - 01.01.2025 16:15","10285","10209","9407","n/e","n/e","n/e","3546","3500","4013"
"01.01.2025 16:15 - 01.01.2025 16:30","9005","8994","8140","n/e","n/e","n/e","3611","3566","4061"
"01.01.2025 16:30 - 01.01.2025 16:45","7490","7498","6769","n/e","n/e","n/e","3676","3646","4121"
"01.01.2025 16:45 - 01.01.2025 17:00","5866","5860","5389","n/e","n/e","n/e","3743","3736","4191"
"01.01.2025 17:00 - 01.01.2025 17:15","4501","4471","4256","n/e","n/e","n/e","3798","3840","4176"
"01.01.2025 17:15 - 01.01.2025 17:30","3058","2998","3185","n/e","n/e","n/e","3878","3941","4261"
"01.01.2025 17:30 - 01.01.2025 17:45","1947","1875","2207","n/e","n/e","n/e","3967","4043","4345"
"01.01.2025 17:45 - 01.01.2025 18:00","1156","1082","1623","n/e","n/e","n/e","4061","4142","4427"
"01.01.2025 18:00 - 01.01.2025 18:15","441","394","429","n/e","n/e","n/e","4174","4255","4352"
"01.01.2025 18:15 - 01.01.2025 18:30","289","226","304","n/e","n/e","n/e","4257","4338","4430"
"01.01.2025 18:30 - 01.01.2025 18:45","230","161","257","n/e","n/e","n/e","4325","4408","4500"
"01.01.2025 18:45 - 01.01.2025 19:00","202","138","231","n/e","n/e","n/e","4381","4467","4562"
"01.01.2025 19:00 - 01.01.2025 19:15","186","131","156","n/e","n/e","n/e","4434","4529","4575"
"01.01.2025 19:15 - 01.01.2025 19:30","179","134","141","n/e","n/e","n/e","4478","4569","4614"
"01.01.2025 19:30 - 01.01.2025 19:45","170","135","127","n/e","n/e","n/e","4523","4602","4643"
"01.01.2025 19:45 - 01.01.2025 20:00","160","131","115","n/e","n/e","n/e","4568","4629","4665"
"01.01.2025 20:00 - 01.01.2025 20:15","144","132","78","n/e","n/e","n/e","4612","4660","5005"
"01.01.2025 20:15 - 01.01.2025 20:30","138","118","71","n/e","n/e","n/e","4654","4681","5002"
"01.01.2025 20:30 - 01.01.2025 20:45","138","101","66","n/e","n/e","n/e","4695","4701","4997"
"01.01.2025 20:45 - 01.01.2025 21:00","141","82","62","n/e","n/e","n/e","4733","4721","4992"
"01.01.2025 21:00 - 01.01.2025 21:15","149","59","71","n/e","n/e","n/e","4774","4739","5047"
"01.01.2025 21:15 - 01.01.2025 21:30","152","48","67","n/e","n/e","n/e","4813","4759","5039"
"01.01.2025 21:30 - 01.01.2025 21:45","152","42","63","n/e","n/e","n/e","4854","4778","5036"
"01.01.2025 21:45 - 01.01.2025 22:00","151","42","61","n/e","n/e","n/e","4897","4797","5039"
"01.01.2025 22:00 - 01.01.2025 22:15","145","43","21","n/e","n/e","n/e","4938","4817","5235"
"01.01.2025 22:15 - 01.01.2025 22:30","148","50","20","n/e","n/e","n/e","4983","4836","5235"
"01.01.2025 22:30 - 01.01.2025 22:45","157","61","20","n/e","n/e","n/e","5030","4853","5243"
"01.01.2025 22:45 - 01.01.2025 23:00","165","71","20","n/e","n/e","n/e","5076","4871","5257"
"01.01.2025 23:00 - 01.01.2025 23:15","193","94","9","n/e","n/e","n/e","5131","4885","5297"
"01.01.2025 23:15 - 01.01.2025 23:30","186","97","7","n/e","n/e","n/e","5179","4907","5311"
"01.01.2025 23:30 - 01.01.2025 23:45","165","92","5","n/e","n/e","n/e","5227","4932","5327"
"01.01.2025 23:45 - 02.01.2025 00:00","135","81","4","n/e","n/e","n/e","5271","4959","5344"
"02.01.2025 00:00 - 02.01.2025 00:15","30","0","0","n/e","n/e","n/e","5073","5463","5463"
"02.01.2025 00:15 - 02.01.2025 00:30","30","0","0","n/e","n/e","n/e","5108","5463","5463"
"02.01.2025 00:30 - 02.01.2025 00:45","32","0","0","n/e","n/e","n/e","5140","5463","5463"
"02.01.2025 00:45 - 02.01.2025 01:00","35","0","0","n/e","n/e","n/e","5167","5461","5461"
"02.01.2025 01:00 - 02.01.2025 01:15","44","20","20","n/e","n/e","n/e","5197","5554","5554"
"02.01.2025 01:15 - 02.01.2025 01:30","44","17","17","n/e","n/e","n/e","5216","5532","5532"
"02.01.2025 01:30 - 02.01.2025 01:45","41","14","14","n/e","n/e","n/e","5232","5510","5510"
"02.01.2025 01:45 - 02.01.2025 02:00","34","11","11","n/e","n/e","n/e","5244","5488","5488"
"02.01.2025 02:00 - 02.01.2025 02:15","25","0","0","n/e","n/e","n/e","5258","5649","5649"
"02.01.2025 02:15 - 02.01.2025 02:30","21","0","0","n/e","n/e","n/e","5264","5607","5607"
"02.01.2025 02:30 - 02.01.2025 02:45","20","0","0","n/e","n/e","n/e","5268","5553","5553"
"02.01.2025 02:45 - 02.01.2025 03:00","21","0","0","n/e","n/e","n/e","5272","5496","5496"
"02.01.2025 03:00 - 02.01.2025 03:15","25","0","0","n/e","n/e","n/e","5267","5667","5667"
"02.01.2025 03:15 - 02.01.2025 03:30","25","0","0","n/e","n/e","n/e","5278","5638","5638"
"02.01.2025 03:30 - 02.01.2025 03:45","23","0","0","n/e","n/e","n/e","5295","5616","5616"
"02.01.2025 03:45 - 02.01.2025 04:00","19","0","0","n/e","n/e","n/e","5318","5602","5602"
"02.01.2025 04:00 - 02.01.2025 04:15","12","0","0","n/e","n/e","n/e","5343","5828","5828"
"02.01.2025 04:15 - 02.01.2025 04:30","11","0","0","n/e","n/e","n/e","5373","5809","5809"
"02.01.2025 04:30 - 02.01.2025 04:45","12","0","0","n/e","n/e","n/e","5404","5793","5793"
"02.01.2025 04:45 - 02.01.2025 05:00","15","1","1","n/e","n/e","n/e","5435","5779","5779"
"02.01.2025 05:00 - 02.01.2025 05:15","22","13","13","n/e","n/e","n/e","5474","5799","5799"
"02.01.2025 05:15 - 02.01.2025 05:30","23","14","14","n/e","n/e","n/e","5504","5793","5793"
"02.01.2025 05:30 - 02.01.2025 05:45","20","14","14","n/e","n/e","n/e","5531","5786","5786"
"02.01.2025 05:45 - 02.01.2025 06:00","15","13","13","n/e","n/e","n/e","5554","5778","5778"
"02.01.2025 06:00 - 02.01.2025 06:15","7","8","8","n/e","n/e","n/e","5584","5449","5449"
"02.01.2025 06:15 - 02.01.2025 06:30","5","9","9","n/e","n/e","n/e","5596","5469","5469"
